,run,episode,game type,agent,reward,penalty,share_cooperators,successful_sanction_c,successful_sanction_d,C-,D-,CC,CD,DC,DD
1,0,0,NPIPD penalties True,sum,81.0,-70,,5,4,2,7,6,1,10,6
101,0,100,NPIPD penalties True,sum,225.0,-70,,6,4,5,3,5,5,7,7
201,0,200,NPIPD penalties True,sum,144.0,-70,,5,5,5,4,3,4,10,6
301,0,300,NPIPD penalties True,sum,144.0,-70,,2,11,1,1,3,8,1,18
401,0,400,NPIPD penalties True,sum,121.0,-70,,2,12,1,0,2,8,1,20
501,0,500,NPIPD penalties True,sum,361.0,-70,,2,10,0,0,2,17,1,12
601,0,600,NPIPD penalties True,sum,729.0,-70,,4,5,0,0,3,24,1,4
701,0,700,NPIPD penalties True,sum,841.0,-70,,5,1,0,0,4,25,3,0
801,0,800,NPIPD penalties True,sum,841.0,-70,,5,1,0,0,4,25,3,0
901,0,900,NPIPD penalties True,sum,841.0,-70,,6,3,0,0,4,25,3,0
1001,0,1000,NPIPD penalties True,sum,841.0,-70,,7,3,0,0,4,25,3,0
1101,0,1100,NPIPD penalties True,sum,841.0,-70,,6,2,0,0,4,25,3,0
1201,0,1200,NPIPD penalties True,sum,841.0,-70,,6,2,0,0,4,25,3,0
1301,0,1300,NPIPD penalties True,sum,841.0,-70,,6,2,0,0,4,25,3,0
1401,0,1400,NPIPD penalties True,sum,841.0,-70,,7,3,0,0,4,25,3,0
1501,0,1500,NPIPD penalties True,sum,841.0,-70,,7,3,0,0,4,25,3,0
1601,0,1600,NPIPD penalties True,sum,841.0,-70,,7,3,0,0,4,25,3,0
1701,0,1700,NPIPD penalties True,sum,841.0,-70,,7,3,0,0,4,25,3,0
1801,0,1800,NPIPD penalties True,sum,841.0,-70,,6,3,0,0,4,25,3,0
1901,0,1900,NPIPD penalties True,sum,841.0,-70,,6,3,0,0,4,25,3,0
2001,0,2000,NPIPD penalties True,sum,841.0,-70,,7,3,0,0,4,25,3,0
2101,0,2100,NPIPD penalties True,sum,841.0,-70,,5,2,0,0,4,25,3,0
2201,0,2200,NPIPD penalties True,sum,841.0,-70,,4,1,0,0,4,25,3,0
2301,0,2300,NPIPD penalties True,sum,841.0,-70,,7,3,0,0,4,25,3,0
2401,0,2400,NPIPD penalties True,sum,841.0,-70,,6,3,0,0,4,25,3,0
2501,0,2500,NPIPD penalties True,sum,841.0,-70,,4,0,0,0,4,25,3,0
2601,0,2600,NPIPD penalties True,sum,841.0,-70,,6,2,0,0,4,25,3,0
2701,0,2700,NPIPD penalties True,sum,841.0,-70,,6,2,0,0,4,25,3,0
2801,0,2800,NPIPD penalties True,sum,841.0,-70,,7,3,0,0,4,25,3,0
2901,0,2900,NPIPD penalties True,sum,841.0,-70,,5,1,0,0,4,25,3,0
3001,0,3000,NPIPD penalties True,sum,841.0,-70,,6,3,0,0,4,25,3,0
3101,0,3100,NPIPD penalties True,sum,841.0,-70,,7,3,0,0,4,25,3,0
3201,0,3200,NPIPD penalties True,sum,841.0,-70,,6,2,0,0,4,25,3,0
3301,0,3300,NPIPD penalties True,sum,841.0,-70,,5,1,0,0,4,25,3,0
3401,0,3400,NPIPD penalties True,sum,841.0,-70,,6,3,0,0,4,25,3,0
3501,0,3500,NPIPD penalties True,sum,841.0,-70,,7,3,0,0,4,25,3,0
3601,0,3600,NPIPD penalties True,sum,841.0,-70,,6,2,0,0,4,25,3,0
3701,0,3700,NPIPD penalties True,sum,841.0,-70,,6,2,0,0,4,25,3,0
